Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","1999","1999","3050","FAO TIER 1","kt","425.3989","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","1999","1999","3050","FAO TIER 1","kt","95.7152","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","1999","1999","3050","FAO TIER 1","kt","521.1148","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","1999","1999","3050","FAO TIER 1","kt","138095.422","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","1999","1999","3050","FAO TIER 1","kt","138095.422","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","423.9805","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","95.3954","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","519.3763","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","137634.7195","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2000","2000","3050","FAO TIER 1","kt","137634.7195","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","431.9904","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","97.1976","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","529.1884","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","140234.926","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2001","2001","3050","FAO TIER 1","kt","140234.926","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","425.3971","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","95.7141","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","521.1114","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","138094.521","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2002","2002","3050","FAO TIER 1","kt","138094.521","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","428.2661","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","96.3606","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","524.6256","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","139025.784","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2003","2003","3050","FAO TIER 1","kt","139025.784","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","463.1941","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","104.2189","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","567.4143","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","150364.7895","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2004","2004","3050","FAO TIER 1","kt","150364.7895","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","463.4929","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","104.2858","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","567.7781","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","150461.1965","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2005","2005","3050","FAO TIER 1","kt","150461.1965","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","462.3737","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","104.0342","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","566.408","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","150098.12","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2006","2006","3050","FAO TIER 1","kt","150098.12","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","472.0741","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","106.2166","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","578.2907","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","153247.0355","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2007","2007","3050","FAO TIER 1","kt","153247.0355","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","503.4134","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","113.2681","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","616.6815","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","163420.5975","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2008","2008","3050","FAO TIER 1","kt","163420.5975","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","496.6466","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","111.7451","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","608.3928","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","161224.092","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2009","2009","3050","FAO TIER 1","kt","161224.092","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","497.3472","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","111.9036","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","609.2505","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","161451.3825","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2010","2010","3050","FAO TIER 1","kt","161451.3825","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","517.3934","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","116.4142","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","633.8063","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","167958.6695","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2011","2011","3050","FAO TIER 1","kt","167958.6695","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","509.3638","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","114.6061","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","623.9706","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","165352.209","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2012","2012","3050","FAO TIER 1","kt","165352.209","E","Estimated value",""
"GT","Emissions totals","001","World","7234","Direct emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","544.7042","E","Estimated value",""
"GT","Emissions totals","001","World","7236","Indirect emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","122.5587","E","Estimated value",""
"GT","Emissions totals","001","World","7230","Emissions (N2O)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","667.2627","E","Estimated value",""
"GT","Emissions totals","001","World","724313","Emissions (CO2eq) from N2O (AR5)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","176824.6155","E","Estimated value",""
"GT","Emissions totals","001","World","723113","Emissions (CO2eq) (AR5)","5064","Crop Residues","2013","2013","3050","FAO TIER 1","kt","176824.6155","E","Estimated value",""
