VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2020,11.627,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2021,14.047,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2022,14.397,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2020,93.1976,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2021,85.0036,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2022,85.8616,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2020,1112.045778393,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2021,1103.851868194,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central and Southern Asia,2022,1104.709868194,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2020,437.2609,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2021,437.0609,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern Asia,2022,437.0609,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2020,866.63269005,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2021,866.4167457,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Eastern and South-Eastern Asia,2022,866.49240697,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2020,84.503431884,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2021,83.201316031,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe,2022,82.389751802,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2020,264.562431884,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2021,263.260316031,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Europe and Northern America,2022,262.448751802,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2020,174.323225995,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2021,167.147255933,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Land Locked Developing Countries,2022,168.110917252,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2020,272.901414734,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2021,261.245436429,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Latin America and the Caribbean,2022,264.476701474,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2020,180.2767892,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2021,180.2772892,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Least Developed Countries,2022,180.2772892,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2020,111.368,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2021,111.108,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa,2022,111.367,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa and Western Asia,2020,259.067392682,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa and Western Asia,2021,258.0812767,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern Africa and Western Asia,2022,260.610830824,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern America,2020,180.059,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern America,2021,180.059,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Northern America,2022,180.059,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Oceania,2020,11.678,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Oceania,2021,14.098,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Oceania,2022,14.448,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Oceania (excluding Australia and New Zealand),2020,0.051,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Oceania (excluding Australia and New Zealand),2021,0.051,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Oceania (excluding Australia and New Zealand),2022,0.051,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Small Island Developing States,2020,17.228661591,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Small Island Developing States,2021,17.17393935,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Small Island Developing States,2022,17.1566872,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,South-eastern Asia,2020,429.37179005,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,South-eastern Asia,2021,429.3558457,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,South-eastern Asia,2022,429.43150697,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Southern Asia,2020,1018.848178393,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Southern Asia,2021,1018.848268194,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Southern Asia,2022,1018.848268194,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Sub-Saharan Africa,2020,78.586908945,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Sub-Saharan Africa,2021,78.609007643,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Sub-Saharan Africa,2022,78.403616812,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Western Asia,2020,147.699392682,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Western Asia,2021,146.9732767,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Western Asia,2022,149.243830824,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,World,2020,2865.474616688,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,World,2021,2845.562650698,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,World,2022,2851.590176077,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Australia and New Zealand,2020,62.981420291,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Australia and New Zealand,2021,65.841711781,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Australia and New Zealand,2022,66.443603471,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Central Asia,2020,77.729635687,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Central Asia,2021,82.266697698,%,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal as % of total water withdrawal,Central Asia,2022,82.104603841,%,E,true
