VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2000,16.711085714,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2001,16.822571429,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2002,16.330557143,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2003,15.838542857,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2004,15.346528571,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2005,14.854514286,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2006,13.8285,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2007,12.69375,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2008,11.559,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2009,10.42425,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2010,10.566,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2011,10.557,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2012,12.794,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2013,16.177,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2014,15.017,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2015,12.607,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2016,14.357,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2017,15.297772,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2018,15.83472688,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2019,13.657,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2020,11.627,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2021,14.047,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Australia and New Zealand,2022,14.397,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2000,110.770428571,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2001,111.385842505,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2002,111.997685011,10^9 m3/year,E,true
Water use,Water withdrawal by sector,Agricultural water withdrawal,Central Asia,2003,111.969527516,10^9 m3/year,E,true
