,Exposure hierarchy (L7),Mean,AGROVOC_label,AGROVOC_uri
170,"Cow milk, semi skimmed (half fat)",202.02,skim milk,http://aims.fao.org/aos/agrovoc/c_7096
143,Coffee (average strength) beverage,175.78,coffee,http://aims.fao.org/aos/agrovoc/c_1731
8,Apples,134.45,apples,http://aims.fao.org/aos/agrovoc/c_541
433,Potatoes,123.47,potatoes,http://aims.fao.org/aos/agrovoc/c_13551
601,"Wheat bread and rolls, white (refined flour)",122.25,bread,http://aims.fao.org/aos/agrovoc/c_1071
613,"Wine, red",108.28999999999999,red wines,http://aims.fao.org/aos/agrovoc/c_28614
117,Chicken fresh meat,96.71,chicken meat,http://aims.fao.org/aos/agrovoc/c_24000
172,"Cow milk, whole",90.21,whole milk,http://aims.fao.org/aos/agrovoc/c_15364
204,Dried durum pasta,85.55,pasta,http://aims.fao.org/aos/agrovoc/c_5621
395,"Olive oil, virgin or extra-virgin",79.36,olive oil,http://aims.fao.org/aos/agrovoc/c_25491
147,Coffee espresso (beverage),77.41000000000001,coffee,http://aims.fao.org/aos/agrovoc/c_1731
23,Beer,75.78,beers,http://aims.fao.org/aos/agrovoc/c_864
173,"Cow, ox or bull fresh meat",74.71,meat,http://aims.fao.org/aos/agrovoc/c_4669
149,"Cola beverages, caffeinic",71.23,soft drinks,http://aims.fao.org/aos/agrovoc/c_7149
266,Globe tomato,69.41,tomatoes,http://aims.fao.org/aos/agrovoc/c_7805
