Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","5110","Area","6600","Country area","1999","1999","1000 ha","14013842.7177","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2000","2000","1000 ha","14013540.9177","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2001","2001","1000 ha","14013579.9377","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2002","2002","1000 ha","14013623.4377","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2003","2003","1000 ha","14013669.9877","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2004","2004","1000 ha","14017083.3837","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2005","2005","1000 ha","14017279.018","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2006","2006","1000 ha","14017309.5127","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2007","2007","1000 ha","14017318.6847","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2008","2008","1000 ha","14037269.2549","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2009","2009","1000 ha","14037037.637","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2010","2010","1000 ha","14037065.0248","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2011","2011","1000 ha","14037091.9989","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2012","2012","1000 ha","14039049.862","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2013","2013","1000 ha","14074750.9598","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2014","2014","1000 ha","14074558.6395","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2015","2015","1000 ha","14075312.0635","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2016","2016","1000 ha","14075432.2294","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2017","2017","1000 ha","14075766.1098","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2018","2018","1000 ha","14075744.5626","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2019","2019","1000 ha","14085951.3015","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2020","2020","1000 ha","14095798.826","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2021","2021","1000 ha","14095226.3928","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2022","2022","1000 ha","14094544.5635","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6600","Country area","2023","2023","1000 ha","14094469.3859","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6601","Land area","1999","1999","1000 ha","12998481.6319","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2000","2000","1000 ha","13004389.056","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2001","2001","1000 ha","13004271.0539","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2002","2002","1000 ha","13004052.3544","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2003","2003","1000 ha","13004735.9912","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2004","2004","1000 ha","13019421.1375","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2005","2005","1000 ha","13019696.3724","A","Official figure",""
"RL","Land Use","001","World","5110","Area","6601","Land area","2006","2006","1000 ha","13019475.1806","E","Estimated value",""
