AGROVOC_label,AGROVOC_uri,food_typology,Mean_consumption_italy,Carbon Footprint (g CO2eq/g o cc),(Water Footprint liters) water/kg o liter,cost_per_kg_or_l
cow milk,http://aims.fao.org/aos/agrovoc/c_16080,ANIMAL HUSBANDRY,307.48,1.305,1260.5,8.12
coffee,http://aims.fao.org/aos/agrovoc/c_1731,AGRICULTURAL PROCESSED,253.19,6.71,19956.0,16.94
apples,http://aims.fao.org/aos/agrovoc/c_541,CROPS,134.45,0.2539,622.0,2.54
tomatoes,http://aims.fao.org/aos/agrovoc/c_7805,CROPS,134.18,1.2625499999999998,41.0,6.66
potatoes,http://aims.fao.org/aos/agrovoc/c_13551,CROPS,123.47,0.24,575.0,1.98
bread,http://aims.fao.org/aos/agrovoc/c_1071,AGRICULTURAL PROCESSED,122.61,0.86,667.0,2.8666666666666667
red wines,http://aims.fao.org/aos/agrovoc/c_28614,AGRICULTURAL PROCESSED,108.28999999999999,0.873,524.0,2.32
chicken meat,http://aims.fao.org/aos/agrovoc/c_24000,ANIMAL HUSBANDRY,99.33,3.676746753,3960.0,15.61
pasta,http://aims.fao.org/aos/agrovoc/c_5621,AGRICULTURAL PROCESSED,88.81,1.2055,1508.0,23.15
soft drinks,http://aims.fao.org/aos/agrovoc/c_7149,None,85.10000000000001,,,1.98
olive oil,http://aims.fao.org/aos/agrovoc/c_25491,AGRICULTURAL PROCESSED,79.36,3.265,14415.0,8.27
beers,http://aims.fao.org/aos/agrovoc/c_864,AGRICULTURAL PROCESSED,75.78,0.693,155.0,1.9
beef,http://aims.fao.org/aos/agrovoc/c_861,ANIMAL HUSBANDRY,74.71,25.751,15139.0,26.01
peaches,http://aims.fao.org/aos/agrovoc/c_5638,CROPS,67.53999999999999,0.385,910.0,
bananas,http://aims.fao.org/aos/agrovoc/c_806,CROPS,60.209999999999994,0.8175,748.0,1.84
sweet oranges,http://aims.fao.org/aos/agrovoc/c_7550,CROPS,56.19,0.3,654.0,2.48
orange juice,http://aims.fao.org/aos/agrovoc/c_25492,AGRICULTURAL PROCESSED,39.8,0.461,1019.0,2.34
pears,http://aims.fao.org/aos/agrovoc/c_5645,CROPS,39.13,0.274,922.0,3.01
ice cream,,AGRICULTURAL PROCESSED,33.05,4.3,,6.76
rice,http://aims.fao.org/aos/agrovoc/c_6599,CROPS,24.55,2.188780487804878,1597.0,3.1
carrots,http://aims.fao.org/aos/agrovoc/c_9640,CROPS,24.36,0.235,195.0,1.64
hams,http://aims.fao.org/aos/agrovoc/c_3481,ANIMAL HUSBANDRY,18.78,7.945,6177.0,29.47
cod,http://aims.fao.org/aos/agrovoc/c_1717,FISHING,16.52,3.08,2782.0,19.69
onions,http://aims.fao.org/aos/agrovoc/c_12934,CROPS,16.39,0.2223,290.0,2.1
soy milk,http://aims.fao.org/aos/agrovoc/c_15563,AGRICULTURAL PROCESSED,10.99,0.78,2030.0,1.98
biscuits,http://aims.fao.org/aos/agrovoc/c_16475,AGRICULTURAL PROCESSED,8.82,1.533,2902.0,4.24
salmon,http://aims.fao.org/aos/agrovoc/c_6756,FISHING,7.95,3.3734,2193.0,18.3
tuna,http://aims.fao.org/aos/agrovoc/c_8003,FISHING,3.01,3.675625,,13.84
chocolate,http://aims.fao.org/aos/agrovoc/c_1582,AGRICULTURAL PROCESSED,1.108,3.16,17196.0,16.5
peas,http://aims.fao.org/aos/agrovoc/c_13177,CROPS,0.01,0.446,1979.0,3.41
