DATAFLOW,LAST UPDATE,freq,wst_oper,waste,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,AT,2020,136,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,AT,2021,134,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,AT,2022,131,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BE,2020,146,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BE,2021,149,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BE,2022,151,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BG,2020,114,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BG,2021,109,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,BG,2022,95,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CY,2020,273,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CY,2021,285,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CY,2022,294,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CZ,2020,91,e,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CZ,2021,108,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,CZ,2022,101,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DE,2020,131,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DE,2021,131,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DE,2022,129,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DK,2020,221,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DK,2021,230,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,DK,2022,254,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EE,2020,125,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EE,2021,128,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EE,2022,134,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EL,2020,191,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EL,2021,193,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EL,2022,196,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,ES,2020,69,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,ES,2021,67,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,ES,2022,65,,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EU27_2020,2020,128,i,
ESTAT:CEI_PC035(1.0),14/03/25 23:00:00,A,COL,W091_092_101_FD,TOT,KG_HAB,EU27_2020,2021,129,i,
