"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Italy;106;IT;Wheat;15;Cereals;m3/ton;1192.0400390625;1180.6400146484;1278.8100585938;1290.9100341797;1193.9399414062;988.70001220703;996.67297363281;995.84002685547;1024.8399658203;1086.7900390625;999.75701904297;1116.2600097656;998.72998046875;1063.8800048828;1140.2800292969;1247;1349.6199951172;1326.6999511719;1077.2099609375;1139.1500244141;1140.0300292969;1152.6700439453;1017.2600097656;1069.9899902344;1055.7600097656;1025.2199707031;1006.3499755859;965.91998291016;966.86700439453;997.875;945.79901123047
Italy;106;IT;"Flour of Wheat";16;Cereals;m3/ton;1206.2099609375;1194.6700439453;1294.0200195312;1306.2600097656;1208.1400146484;1000.450012207;1008.5200195312;1007.6799926758;1037.0300292969;1099.7099609375;1011.6400146484;1129.5300292969;1010.5999755859;1076.5200195312;1153.8299560547;1261.8299560547;1365.6600341797;1342.4799804688;1090.0200195312;1152.6899414062;1153.5799560547;1166.3699951172;1029.3499755859;1082.7099609375;1068.3199462891;1206.2099609375;1194.6700439453;1294.0200195312;1306.2600097656;1208.1400146484;1000.450012207
Italy;106;IT;Macaroni;18;Cereals;m3/ton;1206.2099609375;1194.6700439453;1294.0200195312;1306.2600097656;1208.1400146484;1000.450012207;1008.5200195312;1007.6799926758;1037.0300292969;1099.7099609375;1011.6400146484;1129.5300292969;1010.5999755859;1076.5200195312;1153.8299560547;1261.8299560547;1365.6600341797;1342.4799804688;1090.0200195312;1152.6899414062;1153.5799560547;1166.3699951172;1029.3499755859;1082.7099609375;1068.3199462891;1206.2099609375;1194.6700439453;1294.0200195312;1306.2600097656;1208.1400146484;1000.450012207
Italy;106;IT;Bread;20;Cereals;m3/ton;1048.8800048828;1038.8499755859;1125.2299804688;1135.8800048828;1050.5500488281;869.96002197266;876.97601318359;876.24298095703;901.76300048828;956.27099609375;879.69000244141;982.19799804688;878.78601074219;936.10900878906;1003.3300170898;1097.2399902344;1187.5300292969;1167.3699951172;947.84399414062;1002.3400268555;1003.1199951172;1014.2399902344;895.08697509766;941.48699951172;928.97100830078;1048.8800048828;1038.8499755859;1125.2299804688;1135.8800048828;1050.5500488281;869.96002197266
Italy;106;IT;Bulgur;21;Cereals;m3/ton;1328.5100097656;1315.8100585938;1425.2199707031;1438.7099609375;1330.6400146484;1101.8900146484;1110.7800292969;1109.8499755859;1142.1800537109;1211.2199707031;1114.2199707031;1244.0600585938;1113.0699462891;1185.6800537109;1270.8299560547;1389.7700195312;1504.1300048828;1478.5999755859;1200.5400390625;1269.5699462891;1270.5500488281;1284.6400146484;1133.7199707031;1192.4899902344;1176.6400146484;1328.5100097656;1315.8100585938;1425.2199707031;1438.7099609375;1330.6400146484;1101.8900146484
Italy;106;IT;"Rice, paddy";27;Cereals;m3/ton;1241.6099853516;1279.0200195312;1231.4100341797;1096.4699707031;1116.6800537109;1099.4699707031;1120.8100585938;1167.6999511719;1133.2900390625;1182.2600097656;1128.2900390625;1059.6600341797;1049.9799804688;1024.2600097656;1192.0699462891;1139.9799804688;1071.1500244141;1058.7399902344;1035.2600097656;1126;1111.0999755859;1043.2900390625;1128.9300537109;1004.4799804688;1099.4100341797;1104.8800048828;977.61999511719;1015.2299804688;1090.7199707031;1070.4699707031;1064.4399414062
Italy;106;IT;"Beverages, fermented rice";39;Lux-foods;m3/ton;542.51501464844;541.96697998047;649.58801269531;646.34802246094;722.62298583984;633.21801757812;546.67401123047;577.99102783203;587.70397949219;628.08502197266;559.00299072266;648.08001708984;563.96398925781;553.88800048828;581.50402832031;568.50799560547;674.07897949219;673.20300292969;554.53802490234;559.35797119141;564.85998535156;636.15301513672;606.71002197266;575.21697998047;593.58001708984;542.51501464844;541.96697998047;649.58801269531;646.34802246094;722.62298583984;633.21801757812
Italy;106;IT;Barley;44;Cereals;m3/ton;711.85101318359;629.44201660156;678.291015625;780.875;649.53997802734;621.48999023438;637.28900146484;645.72900390625;645.14001464844;610.85498046875;602.2509765625;672.14501953125;607.65399169922;626.81298828125;617.27197265625;696.91400146484;757.60699462891;733.89001464844;643.13201904297;640.86199951172;624.22100830078;673.75201416016;620.95202636719;656.38800048828;627.74102783203;668.97601318359;611.6259765625;603.18499755859;591.52197265625;555.74798583984;582.16802978516
Italy;106;IT;"Barley Pearled";46;Cereals;m3/ton;988.68103027344;874.22497558594;942.07000732422;1084.5500488281;902.13897705078;863.17999267578;885.12298583984;896.84600830078;896.02801513672;848.40997314453;836.46002197266;933.53497314453;843.96398925781;870.57299804688;857.32299804688;967.93701171875;1052.2299804688;1019.2899780273;893.23901367188;890.08599853516;866.97302246094;935.76702880859;862.43298339844;911.65100097656;871.86199951172;988.68103027344;874.22497558594;942.07000732422;1084.5500488281;902.13897705078;863.17999267578
Italy;106;IT;Malt;49;Cereals;m3/ton;975.13800048828;862.2490234375;929.16497802734;1069.6899414062;889.78100585938;851.35601806641;872.99798583984;884.55999755859;883.75402832031;836.78802490234;825.0009765625;920.74700927734;832.40301513672;858.64801025391;845.57800292969;954.67700195312;1037.8199462891;1005.3300170898;881.00299072266;877.89300537109;855.09698486328;922.94799804688;850.61901855469;899.16198730469;859.91900634766;975.13800048828;862.2490234375;929.16497802734;1069.6899414062;889.78100585938;851.35601806641
